path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/Tax.php,fe9ce0d397f258dc095fa31474e263aae44831f2820ada8bdbdec97bdfce0564,5593
README.md,4b98ff9cb3a13ccc454cc6c0e771e2f29bcf5cac2c8893e3ef1a87a4486cdc30,62
Setup/InstallData.php,c84f3fab33a3dd1d5e952e6d718d3cc987c018060042fead8cdad1eecb2c6fb7,780
Setup/Installer.php,ced2861a0794adab96559c68e7379d56609435d6609c3d43a677d3511b48ff81,681
composer.json,3540f0b57acb2afce8cd41e7038d273f328b6688acf14f2b0a85e1f988001ec9,503
etc/module.xml,6951e5fa157928b788c61bf9707dcc48b79f8b0717b75c4c1c7d8561b9ef3c99,495
fixtures/tax_rate.csv,d53fb5fa5ad0471cc4d12c5b4aaed5f3f600a4304ae506895442c20bc6e2c6ba,80
fixtures/tax_rule.csv,8590b3b681980d764bc2099b03fe605dea6d53b96505084e07d7bfb73209453b,118
registration.php,4868d6568ff1cf94bcab87f9f6d3eb2ee0bcf546eeaa627fc5c6fed540f49ed3,280
